subset_size,mean_r,se_r,std_r,n_pairs
10,0.011888940654529938,0.0027474169250912496,0.018430233021112446,45
20,0.006713912880431902,0.001306372357176216,0.018007100259699982,190
30,0.006709182370758156,0.0008691007707780061,0.018126533732311097,435
40,0.006581927057132512,0.0006431796232335826,0.01796302930018923,780
50,0.006183118551783685,0.0005125747591725345,0.01794011657103871,1225
60,0.006004126327159166,0.00043386230397167593,0.018253180623920624,1770
70,0.0060287294359267,0.0003734789465817862,0.018353744967954506,2415
80,0.006157596224446109,0.0003265764184350379,0.018358126711787017,3160
90,0.005841537544778446,0.00028908565450712484,0.018294805687556783,4005
100,0.005647134372533713,0.0002604398666623122,0.018323568826188324,4950
110,0.005615974677546854,0.00023754896058793477,0.0183927949076552,5995
120,0.005530660807877786,0.00021722996401658332,0.01835561061048782,7140
130,0.005660867677413644,0.00020116751250737937,0.01842083783168642,8385
140,0.005672444790612213,0.00018646547211249347,0.018393096323974772,9730
150,0.005613223155511254,0.00017356722234043167,0.018348116088528585,11175
