Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,38336565308600,0,0.0
key_press:space_intro,38373378790600,36813.482,36.813482
screen_presented:Q1,38373386936500,8.146,0.008146
option_selected:Q1_option0,38385054234400,11667.298,11.667298
submit_clicked:Q1,38393552401900,8498.167,8.498167
screen_presented:Q2,38393552561600,0.160,0.000160
option_selected:Q2_option1,38409593110600,16040.549,16.040549
submit_clicked:Q2,38411363038300,1769.928,1.769928
screen_presented:Q3,38411363178000,0.140,0.000140
option_selected:Q3_option5,38420772704600,9409.527,9.409527
submit_clicked:Q3,38422093837100,1321.132,1.321133
screen_presented:Q4,38422093948300,0.111,0.000111
option_selected:Q4_option3,38432300486000,10206.538,10.206538
submit_clicked:Q4,38432891314400,590.828,0.590828
screen_presented:Q5,38432891421000,0.107,0.000107
option_selected:Q5_option1,38437533790000,4642.369,4.642369
submit_clicked:Q5,38438254353700,720.564,0.720564
screen_presented:Q6,38438254457800,0.104,0.000104
option_selected:Q6_option4,38447109803400,8855.346,8.855346
submit_clicked:Q6,38447792447300,682.644,0.682644
screen_presented:Q7,38447792588400,0.141,0.000141
option_selected:Q7_option1,38458429579300,10636.991,10.636991
submit_clicked:Q7,38459147078300,717.499,0.717499
screen_presented:Q8,38459147189800,0.112,0.000111
option_selected:Q8_option3,38468438286200,9291.096,9.291096
submit_clicked:Q8,38468946424500,508.138,0.508138
screen_presented:Q9,38468946653800,0.229,0.000229
option_selected:Q9_option5,38475932834700,6986.181,6.986181
submit_clicked:Q9,38476515641700,582.807,0.582807
screen_presented:Q10,38476515769000,0.127,0.000127
option_selected:Q10_option6,38492099344500,15583.576,15.583576
submit_clicked:Q10,38492878486200,779.142,0.779142
screen_presented:Q11,38492878590800,0.105,0.000105
option_selected:Q11_option2,38502709591000,9831.000,9.831000
submit_clicked:Q11,38503334486000,624.895,0.624895
screen_presented:Q12,38503334599000,0.113,0.000113
option_selected:Q12_option1,38509327190700,5992.592,5.992592
submit_clicked:Q12,38510133166300,805.976,0.805976
screen_presented:Q13,38510133277900,0.112,0.000112
option_selected:Q13_option2,38519727270900,9593.993,9.593993
submit_clicked:Q13,38520397840700,670.570,0.670570
screen_presented:Q14,38520397973800,0.133,0.000133
option_selected:Q14_option3,38530189408600,9791.435,9.791435
submit_clicked:Q14,38530806114800,616.706,0.616706
