Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,205017316142400,0,0.0
key_press:space_intro,205024356502200,7040.360,7.040360
screen_presented:Q1,205024367720600,11.218,0.011218
option_selected:Q1_option0,205031889081100,7521.360,7.521361
submit_clicked:Q1,205032732490100,843.409,0.843409
screen_presented:Q2,205032732593800,0.104,0.000104
option_selected:Q2_option1,205035629363100,2896.769,2.896769
submit_clicked:Q2,205036471637400,842.274,0.842274
screen_presented:Q3,205036471761600,0.124,0.000124
option_selected:Q3_option1,205049045695900,12573.934,12.573934
submit_clicked:Q3,205053688892100,4643.196,4.643196
screen_presented:Q4,205053689004100,0.112,0.000112
option_selected:Q4_option1,205058267301600,4578.297,4.578297
submit_clicked:Q4,205059441909000,1174.607,1.174607
screen_presented:Q5,205059442021800,0.113,0.000113
option_selected:Q5_option1,205068911160300,9469.138,9.469138
submit_clicked:Q5,205069705511300,794.351,0.794351
screen_presented:Q6,205069705625200,0.114,0.000114
option_selected:Q6_option1,205075021847700,5316.222,5.316223
submit_clicked:Q6,205076284564600,1262.717,1.262717
screen_presented:Q7,205076284674800,0.110,0.000110
option_selected:Q7_option1,205079670234300,3385.559,3.385559
submit_clicked:Q7,205080521368800,851.135,0.851135
screen_presented:Q8,205080521473900,0.105,0.000105
option_selected:Q8_option1,205085439843500,4918.370,4.918370
submit_clicked:Q8,205086429723000,989.880,0.989880
screen_presented:Q9,205086429843200,0.120,0.000120
option_selected:Q9_option1,205093648316800,7218.474,7.218474
submit_clicked:Q9,205096520421200,2872.104,2.872104
screen_presented:Q10,205096520561400,0.140,0.000140
option_selected:Q10_option1,205099180851100,2660.290,2.660290
submit_clicked:Q10,205099963669300,782.818,0.782818
screen_presented:Q11,205099963765600,0.096,0.000096
option_selected:Q11_option1,205101592434200,1628.669,1.628669
submit_clicked:Q11,205102589171200,996.737,0.996737
screen_presented:Q12,205102589270600,0.099,0.000099
option_selected:Q12_option1,205105275312900,2686.042,2.686042
submit_clicked:Q12,205106620215200,1344.902,1.344902
screen_presented:Q13,205106620326400,0.111,0.000111
option_selected:Q13_option1,205121056775200,14436.449,14.436449
submit_clicked:Q13,205122430870700,1374.095,1.374095
screen_presented:Q14,205122431003800,0.133,0.000133
option_selected:Q14_option1,205125934740900,3503.737,3.503737
submit_clicked:Q14,205127482053500,1547.313,1.547313
