Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,642048614512800,0,0.0
key_press:space_intro,642049778581400,1164.069,1.164069
screen_presented:Q1,642049788979300,10.398,0.010398
option_selected:Q1_option3,642065431942100,15642.963,15.642963
submit_clicked:Q1,642066160395200,728.453,0.728453
screen_presented:Q2,642066160516400,0.121,0.000121
option_selected:Q2_option2,642071263533600,5103.017,5.103017
submit_clicked:Q2,642072048806400,785.273,0.785273
screen_presented:Q3,642072048940300,0.134,0.000134
option_selected:Q3_option6,642075870953100,3822.013,3.822013
submit_clicked:Q3,642076614293800,743.341,0.743341
screen_presented:Q4,642076614411700,0.118,0.000118
option_selected:Q4_option5,642079580978000,2966.566,2.966566
submit_clicked:Q4,642080497279300,916.301,0.916301
screen_presented:Q5,642080497428900,0.150,0.000150
option_selected:Q5_option4,642082927853300,2430.424,2.430424
submit_clicked:Q5,642083547713400,619.860,0.619860
screen_presented:Q6,642083547853900,0.141,0.000140
option_selected:Q6_option5,642085401690300,1853.836,1.853836
option_selected:Q6_option3,642086990046100,1588.356,1.588356
submit_clicked:Q6,642087681117100,691.071,0.691071
screen_presented:Q7,642087681253200,0.136,0.000136
option_selected:Q7_option3,642091443634300,3762.381,3.762381
submit_clicked:Q7,642092156196900,712.563,0.712563
screen_presented:Q8,642092156353800,0.157,0.000157
option_selected:Q8_option4,642095045414000,2889.060,2.889060
submit_clicked:Q8,642095855717600,810.304,0.810304
screen_presented:Q9,642095855832300,0.115,0.000115
option_selected:Q9_option6,642098956672600,3100.840,3.100840
submit_clicked:Q9,642099713081700,756.409,0.756409
screen_presented:Q10,642099713209300,0.128,0.000128
option_selected:Q10_option5,642102335308500,2622.099,2.622099
submit_clicked:Q10,642103073773800,738.465,0.738465
screen_presented:Q11,642103073887000,0.113,0.000113
option_selected:Q11_option5,642107048111500,3974.224,3.974225
submit_clicked:Q11,642107996804900,948.693,0.948693
screen_presented:Q12,642107996942700,0.138,0.000138
option_selected:Q12_option6,642110473681400,2476.739,2.476739
submit_clicked:Q12,642111180232900,706.552,0.706551
screen_presented:Q13,642111180344300,0.111,0.000111
option_selected:Q13_option4,642115481880000,4301.536,4.301536
submit_clicked:Q13,642116331280600,849.401,0.849401
screen_presented:Q14,642116331394700,0.114,0.000114
option_selected:Q14_option3,642119735006700,3403.612,3.403612
submit_clicked:Q14,642120590272800,855.266,0.855266
