Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,641807428904000,0,0.0
key_press:space_intro,641808805736000,1376.832,1.376832
screen_presented:Q1,641808823857600,18.122,0.018122
option_selected:Q1_option1,641817977584400,9153.727,9.153727
submit_clicked:Q1,641818734105700,756.521,0.756521
screen_presented:Q2,641818734225400,0.120,0.000120
option_selected:Q2_option8,641825471675900,6737.450,6.737450
option_selected:Q2_option4,641827979379500,2507.704,2.507704
option_selected:Q2_option2,641829994350000,2014.970,2.014970
submit_clicked:Q2,641830923819600,929.470,0.929470
screen_presented:Q3,641830923931500,0.112,0.000112
option_selected:Q3_option3,641833555158900,2631.227,2.631227
option_selected:Q3_option2,641835120217000,1565.058,1.565058
submit_clicked:Q3,641835848231100,728.014,0.728014
screen_presented:Q4,641835848359500,0.128,0.000128
option_selected:Q4_option0,641838895248700,3046.889,3.046889
submit_clicked:Q4,641839664406500,769.158,0.769158
screen_presented:Q5,641839664528200,0.122,0.000122
option_selected:Q5_option0,641843033782800,3369.255,3.369255
submit_clicked:Q5,641844074959200,1041.176,1.041176
screen_presented:Q6,641844075071900,0.113,0.000113
option_selected:Q6_option0,641851484489100,7409.417,7.409417
submit_clicked:Q6,641852632179600,1147.690,1.147690
screen_presented:Q7,641852632286900,0.107,0.000107
option_selected:Q7_option3,641858808052500,6175.766,6.175766
submit_clicked:Q7,641859643488000,835.436,0.835435
screen_presented:Q8,641859643603300,0.115,0.000115
option_selected:Q8_option0,641865112817100,5469.214,5.469214
submit_clicked:Q8,641865972519400,859.702,0.859702
screen_presented:Q9,641865972662000,0.143,0.000143
option_selected:Q9_option3,641870370463700,4397.802,4.397802
submit_clicked:Q9,641871151150100,780.686,0.780686
screen_presented:Q10,641871151258900,0.109,0.000109
option_selected:Q10_option8,641875397971500,4246.713,4.246713
option_selected:Q10_option7,641876159591600,761.620,0.761620
option_selected:Q10_option6,641876546926100,387.334,0.387335
option_selected:Q10_option4,641877603148900,1056.223,1.056223
submit_clicked:Q10,641878548502200,945.353,0.945353
screen_presented:Q11,641878548610900,0.109,0.000109
option_selected:Q11_option7,641881783131100,3234.520,3.234520
submit_clicked:Q11,641882543319500,760.188,0.760188
screen_presented:Q12,641882543444900,0.125,0.000125
option_selected:Q12_option3,641890022206000,7478.761,7.478761
submit_clicked:Q12,641890719574300,697.368,0.697368
screen_presented:Q13,641890719711800,0.138,0.000138
option_selected:Q13_option0,641894264025000,3544.313,3.544313
submit_clicked:Q13,641895059335200,795.310,0.795310
screen_presented:Q14,641895059447700,0.113,0.000112
option_selected:Q14_option4,641898238424800,3178.977,3.178977
submit_clicked:Q14,641899324925000,1086.500,1.086500
screen_presented:Q15,641899325039400,0.114,0.000114
option_selected:Q15_option5,641903820860800,4495.821,4.495821
option_selected:Q15_option4,641905412014100,1591.153,1.591153
submit_clicked:Q15,641906851048100,1439.034,1.439034
screen_presented:Q16,641906851187300,0.139,0.000139
option_selected:Q16_option2,641908831011900,1979.825,1.979825
submit_clicked:Q16,641909592790700,761.779,0.761779
screen_presented:Q17,641909592935700,0.145,0.000145
option_selected:Q17_option3,641912768968400,3176.033,3.176033
submit_clicked:Q17,641913512212700,743.244,0.743244
screen_presented:Q18,641913512325500,0.113,0.000113
option_selected:Q18_option6,641918267810400,4755.485,4.755485
submit_clicked:Q18,641919130049000,862.239,0.862239
screen_presented:Q19,641919130189300,0.140,0.000140
option_selected:Q19_option4,641922005267300,2875.078,2.875078
submit_clicked:Q19,641922719125400,713.858,0.713858
screen_presented:Q20,641922719239400,0.114,0.000114
option_selected:Q20_option2,641926446700600,3727.461,3.727461
option_selected:Q20_option1,641927366299800,919.599,0.919599
submit_clicked:Q20,641928183895700,817.596,0.817596
screen_presented:Q21,641928184030000,0.134,0.000134
option_selected:Q21_option5,641932726615700,4542.586,4.542586
submit_clicked:Q21,641933601905300,875.290,0.875290
screen_presented:Q22,641933602083100,0.178,0.000178
option_selected:Q22_option6,641938534892900,4932.810,4.932810
submit_clicked:Q22,641939479694200,944.801,0.944801
screen_presented:Q23,641939479827500,0.133,0.000133
option_selected:Q23_option1,641946265136700,6785.309,6.785309
submit_clicked:Q23,641947534136000,1268.999,1.268999
screen_presented:Q24,641947534252900,0.117,0.000117
option_selected:Q24_option0,641959522082900,11987.830,11.987830
submit_clicked:Q24,641960360125900,838.043,0.838043
screen_presented:Q25,641960360237200,0.111,0.000111
option_selected:Q25_option0,641964417328900,4057.092,4.057092
submit_clicked:Q25,641965387394700,970.066,0.970066
screen_presented:Q26,641965387512000,0.117,0.000117
option_selected:Q26_option0,641969121493500,3733.981,3.733982
submit_clicked:Q26,641970023727800,902.234,0.902234
screen_presented:Q27,641970023889400,0.162,0.000162
option_selected:Q27_option1,641973553708900,3529.820,3.529819
submit_clicked:Q27,641974718188000,1164.479,1.164479
screen_presented:Q28,641974718349100,0.161,0.000161
option_selected:Q28_option0,641978154766900,3436.418,3.436418
submit_clicked:Q28,641979037363500,882.597,0.882597
