Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,641460836288300,0,0.0
key_press:space_intro,641462061441600,1225.153,1.225153
screen_presented:Q1,641462066947600,5.506,0.005506
option_selected:Q1_option2,641466755080300,4688.133,4.688133
submit_clicked:Q1,641467674970000,919.890,0.919890
screen_presented:Q2,641467675107300,0.137,0.000137
option_selected:Q2_option1,641470215566200,2540.459,2.540459
submit_clicked:Q2,641471490201600,1274.635,1.274635
screen_presented:Q3,641471490309400,0.108,0.000108
option_selected:Q3_option0,641473288286700,1797.977,1.797977
submit_clicked:Q3,641474379324900,1091.038,1.091038
screen_presented:Q4,641474379464900,0.140,0.000140
option_selected:Q4_option0,641477803447400,3423.983,3.423983
submit_clicked:Q4,641478938003400,1134.556,1.134556
screen_presented:Q5,641478938116700,0.113,0.000113
option_selected:Q5_option1,641482073810400,3135.694,3.135694
submit_clicked:Q5,641483061849900,988.039,0.988039
screen_presented:Q6,641483061961500,0.112,0.000112
option_selected:Q6_option0,641484706757600,1644.796,1.644796
submit_clicked:Q6,641485679341700,972.584,0.972584
screen_presented:Q7,641485679482300,0.141,0.000141
option_selected:Q7_option1,641488825237400,3145.755,3.145755
option_selected:Q7_option2,641490017821500,1192.584,1.192584
submit_clicked:Q7,641490787239100,769.418,0.769418
screen_presented:Q8,641490787349700,0.111,0.000111
option_selected:Q8_option3,641492906056200,2118.706,2.118707
submit_clicked:Q8,641493729242900,823.187,0.823187
screen_presented:Q9,641493729354600,0.112,0.000112
option_selected:Q9_option0,641495969469600,2240.115,2.240115
submit_clicked:Q9,641496697955500,728.486,0.728486
