Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,124257340338100,0,0.0
key_press:space_intro,124264229723200,6889.385,6.889385
screen_presented:Q1,124264238524100,8.801,0.008801
option_selected:Q1_option3,124272838260000,8599.736,8.599736
submit_clicked:Q1,124273691495200,853.235,0.853235
screen_presented:Q2,124273691637200,0.142,0.000142
option_selected:Q2_option3,124278414319600,4722.682,4.722682
submit_clicked:Q2,124279038710200,624.391,0.624391
screen_presented:Q3,124279038857200,0.147,0.000147
option_selected:Q3_option4,124283961415000,4922.558,4.922558
submit_clicked:Q3,124286041581800,2080.167,2.080167
screen_presented:Q4,124286041699600,0.118,0.000118
option_selected:Q4_option3,124292714687400,6672.988,6.672988
option_selected:Q4_option3,124293131574800,416.887,0.416887
submit_clicked:Q4,124294814355600,1682.781,1.682781
screen_presented:Q5,124294814509200,0.154,0.000154
option_selected:Q5_option4,124298882296900,4067.788,4.067788
submit_clicked:Q5,124299907055800,1024.759,1.024759
screen_presented:Q6,124299907177900,0.122,0.000122
option_selected:Q6_option3,124306523581400,6616.404,6.616403
option_selected:Q6_option2,124309611276800,3087.695,3.087695
submit_clicked:Q6,124310362749300,751.472,0.751472
screen_presented:Q7,124310362886000,0.137,0.000137
option_selected:Q7_option4,124314571259500,4208.373,4.208374
submit_clicked:Q7,124315355357000,784.097,0.784098
screen_presented:Q8,124315355484100,0.127,0.000127
option_selected:Q8_option4,124318660046600,3304.562,3.304562
submit_clicked:Q8,124320179449700,1519.403,1.519403
screen_presented:Q9,124320179598600,0.149,0.000149
option_selected:Q9_option3,124326914815500,6735.217,6.735217
submit_clicked:Q9,124327534858600,620.043,0.620043
screen_presented:Q10,124327535053500,0.195,0.000195
option_selected:Q10_option2,124337556227000,10021.174,10.021173
submit_clicked:Q10,124338155819400,599.592,0.599592
screen_presented:Q11,124338155961400,0.142,0.000142
option_selected:Q11_option3,124345692786200,7536.825,7.536825
submit_clicked:Q11,124346363122400,670.336,0.670336
screen_presented:Q12,124346363240100,0.118,0.000118
option_selected:Q12_option4,124350791440700,4428.201,4.428201
submit_clicked:Q12,124351373918100,582.477,0.582477
screen_presented:Q13,124351374034700,0.117,0.000117
option_selected:Q13_option2,124355189472900,3815.438,3.815438
submit_clicked:Q13,124355889806500,700.334,0.700334
screen_presented:Q14,124355889993500,0.187,0.000187
option_selected:Q14_option3,124361129013200,5239.020,5.239020
submit_clicked:Q14,124361883591400,754.578,0.754578
screen_presented:Q15,124361883715800,0.124,0.000124
option_selected:Q15_option3,124365577377600,3693.662,3.693662
submit_clicked:Q15,124366414132400,836.755,0.836755
screen_presented:Q16,124366414266400,0.134,0.000134
option_selected:Q16_option2,124370411724500,3997.458,3.997458
submit_clicked:Q16,124371123974900,712.250,0.712250
