Subject Number,Block Scheme,Stimulus Number,Stimulus Type,Subject Response,Play Count,Trial Start Timestamp,Play Button Clicked Timestamp,Audio Start Timestamp,Audio End Timestamp,Subject Response Timestamp
03102025001,full_sentence,2654756,target,target,1,468733562568700,468736549502400,468736549502600,468738439502600,468742017922400
03102025001,full_sentence,690453,distractor,target,1,468744028728600,468748917860700,468748917861300,468750807861300,468753073955400
03102025001,full_sentence,1324224,distractor,distractor,1,468755083964900,468755740008900,468755740009600,468757630009600,468759424981900
03102025001,full_sentence,422402,target,target,1,468761444612500,468761927091600,468761927092100,468763817092100,468768960377100
03102025001,full_sentence,1619569,target,target,1,468770977778400,468771495881000,468771495881500,468773385881500,468780915809300
03102025001,full_sentence,254758,distractor,distractor,1,468783541890900,468784464761200,468784464761500,468786354761500,468787245758700
03102025001,full_sentence,2456914,distractor,distractor,1,468789256946400,468789861823300,468789861823600,468791751823600,468792661750000
03102025001,full_sentence,847501,distractor,target,1,468794672406600,468795296398200,468795296398300,468797186398300,468798169119200
03102025001,full_sentence,351794,distractor,target,1,468800190517200,468800521779700,468800521780300,468802411780300,468802976066800
03102025001,full_sentence,1512885,target,distractor,1,468804997694200,468805862941100,468805862943100,468807752943100,468807994467000
03102025001,full_sentence,1755600,distractor,target,1,468810009942400,468810461457100,468810461457400,468812351457400,468817917424200
03102025001,full_sentence,2262329,distractor,target,1,468819958929800,468820750504800,468820750505100,468822640505100,468823135721400
03102025001,full_sentence,2645024,distractor,distractor,1,468825145446400,468825531993100,468825531993500,468827421993500,468828440837600
03102025001,full_sentence,588063,distractor,distractor,1,468830488948400,468830869346500,468830869346800,468832759346800,468833756629600
03102025001,full_sentence,854858,target,target,1,468835766990800,468836125381500,468836125381800,468838015381800,468838481568000
03102025001,full_sentence,2557564,distractor,target,1,468860445294300,468861408029700,468861408030000,468863298030000,468863849074100
03102025001,full_sentence,135747,target,distractor,1,468865861530300,468866214152800,468866214153100,468868104153100,468868217205000
03102025001,full_sentence,1430067,target,target,1,468870227103900,468870700296900,468870700297200,468872590297200,468873041754000
03102025001,full_sentence,2514716,distractor,target,1,468875052330400,468875388505400,468875388505800,468877278505800,468878265994800
03102025001,full_sentence,1893147,distractor,distractor,1,468880277050800,468880645692300,468880645692700,468882535692700,468883628544100
03102025001,full_sentence,2276260,target,target,1,468885640852900,468886016166800,468886016167200,468887906167200,468888234117400
03102025001,full_sentence,2490211,target,distractor,1,468890244789600,468890572948400,468890572948700,468892462948700,468893224890300
03102025001,full_sentence,2675662,target,target,1,468895237475700,468896595727200,468896595727800,468898485727800,468898763838400
03102025001,full_sentence,2649655,target,target,1,468900776158700,468903182109800,468903182110100,468905072110100,468905303743300
03102025001,full_sentence,1782091,distractor,target,1,468907316417400,468907637720200,468907637720600,468909527720600,468909889020500
03102025001,full_sentence,393679,target,distractor,1,468911899851600,468912432001200,468912432001400,468914322001400,468914527901300
03102025001,full_sentence,2241916,target,target,1,468916539149000,468917111511500,468917111511800,468919001511800,468923811325400
03102025001,full_sentence,2594432,distractor,target,1,468925822687800,468926148261900,468926148262100,468928038262100,468928657219700
03102025001,full_sentence,1286055,distractor,distractor,1,468930667786700,468931067641900,468931067642400,468932957642400,468933017553600
03102025001,full_sentence,2457843,distractor,distractor,1,468935027014600,468935701363900,468935701364300,468937591364300,468938039375700
03102025001,full_sentence,341881,target,distractor,1,468948555010100,468949056001800,468949056002000,468950946002000,468951365364600
03102025001,full_sentence,499550,distractor,target,1,468953375353900,468953783595900,468953783596200,468955673596200,468956399781400
03102025001,full_sentence,63332,distractor,distractor,1,468958410996800,468958823596900,468958823597300,468960713597300,468961098485800
03102025001,full_sentence,1797030,distractor,target,1,468963109997800,468963343767900,468963343768300,468965233768300,468965549690500
03102025001,full_sentence,1995467,distractor,distractor,1,468967559659900,468967836996900,468967836997200,468969726997200,468970000826800
03102025001,full_sentence,1556070,target,target,1,468972011347100,468972292876600,468972292876900,468974182876900,468974218141300
03102025001,full_sentence,2578028,distractor,target,1,468976227853200,468976739935600,468976739935800,468978629935800,468978847084900
03102025001,full_sentence,1559140,distractor,target,1,468980857220800,468981192920400,468981192920800,468983082920800,468983471974000
03102025001,full_sentence,469558,target,distractor,1,468985481587500,468985796601600,468985796602000,468987686602000,468987926087900
03102025001,full_sentence,2534050,target,target,1,468989935839800,468990823935000,468990823935500,468992713935500,468992964610400
03102025001,full_sentence,1879648,distractor,target,1,468994974999400,468995316530300,468995316530600,468997206530600,468998019365200
03102025001,full_sentence,389188,target,target,1,469000029256000,469000448057400,469000448057800,469002338057800,469002806647400
03102025001,full_sentence,364046,distractor,distractor,1,469004815847800,469005835753400,469005835753700,469007725753700,469007890454000
03102025001,full_sentence,270720,target,target,1,469009908516900,469010654536800,469010654537200,469012544537200,469013410625900
03102025001,full_sentence,936885,target,target,1,469015421465200,469015739644400,469015739644800,469017629644800,469019178636600
03102025001,full_sentence,1558811,target,target,1,469031076850500,469031596247400,469031596247800,469033486247800,469033600833100
