Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,209025015439600,0,0.0
key_press:space_intro,209043484637200,18469.198,18.469198
screen_presented:Q1,209043500648400,16.011,0.016011
option_selected:Q1_option2,209063454672200,19954.024,19.954024
submit_clicked:Q1,209065034928600,1580.256,1.580256
screen_presented:Q2,209065035057800,0.129,0.000129
option_selected:Q2_option3,209070930823900,5895.766,5.895766
submit_clicked:Q2,209072571436300,1640.612,1.640612
screen_presented:Q3,209072571579600,0.143,0.000143
option_selected:Q3_option2,209081819021000,9247.441,9.247441
submit_clicked:Q3,209083252780400,1433.759,1.433759
screen_presented:Q4,209083252908100,0.128,0.000128
option_selected:Q4_option1,209090872957800,7620.050,7.620050
submit_clicked:Q4,209091918304600,1045.347,1.045347
screen_presented:Q5,209091918409800,0.105,0.000105
option_selected:Q5_option0,209097903757100,5985.347,5.985347
submit_clicked:Q5,209098904822000,1001.065,1.001065
screen_presented:Q6,209098904937000,0.115,0.000115
option_selected:Q6_option2,209106285765400,7380.828,7.380828
submit_clicked:Q6,209107289180600,1003.415,1.003415
screen_presented:Q7,209107289293900,0.113,0.000113
option_selected:Q7_option3,209116779657500,9490.364,9.490364
submit_clicked:Q7,209118547162400,1767.505,1.767505
screen_presented:Q8,209118547282700,0.120,0.000120
option_selected:Q8_option1,209126927741600,8380.459,8.380459
submit_clicked:Q8,209128155365300,1227.624,1.227624
screen_presented:Q9,209128155485400,0.120,0.000120
option_selected:Q9_option1,209135786404000,7630.919,7.630919
submit_clicked:Q9,209137180439800,1394.036,1.394036
screen_presented:Q10,209137180551700,0.112,0.000112
option_selected:Q10_option0,209143707624900,6527.073,6.527073
submit_clicked:Q10,209144625555700,917.931,0.917931
screen_presented:Q11,209144625682000,0.126,0.000126
option_selected:Q11_option1,209155011997100,10386.315,10.386315
submit_clicked:Q11,209155988292500,976.295,0.976295
screen_presented:Q12,209155988401600,0.109,0.000109
option_selected:Q12_option3,209165248063800,9259.662,9.259662
submit_clicked:Q12,209166496855700,1248.792,1.248792
screen_presented:Q13,209166496988300,0.133,0.000133
option_selected:Q13_option2,209176028256700,9531.268,9.531268
submit_clicked:Q13,209176967962600,939.706,0.939706
screen_presented:Q14,209176968080500,0.118,0.000118
option_selected:Q14_option1,209183709265400,6741.185,6.741185
submit_clicked:Q14,209185280932600,1571.667,1.571667
screen_presented:Q15,209185281047200,0.115,0.000115
option_selected:Q15_option3,209191922439000,6641.392,6.641392
submit_clicked:Q15,209193303544500,1381.105,1.381106
screen_presented:Q16,209193303659900,0.115,0.000115
option_selected:Q16_option3,209203384072200,10080.412,10.080412
submit_clicked:Q16,209204323550200,939.478,0.939478
screen_presented:Q17,209204323677800,0.128,0.000128
