Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,565221003276500,0,0.0
button_click:actual_audio,565245452563000,24449.286,24.449286
button_click:target_0,565247235648700,1783.086,1.783086
button_click:target_1,565248881157800,1645.509,1.645509
button_click:target_2,565250276500900,1395.343,1.395343
button_click:actual_audio,565253494874200,3218.373,3.218373
button_click:distractor_0,565256193196100,2698.322,2.698322
button_click:distractor_1,565257502506400,1309.310,1.309310
button_click:distractor_2,565258740955800,1238.449,1.238449
button_click:target_0,565261187940500,2446.985,2.446985
button_click:target_1,565263697251300,2509.311,2.509311
button_click:target_2,565265949418100,2252.167,2.252167
button_click:distractor_0,565268287663700,2338.246,2.338246
button_click:distractor_1,565269780182100,1492.518,1.492518
button_click:distractor_2,565271459477700,1679.296,1.679296
button_click:continue,565272697975500,1238.498,1.238498
