Subject Number,Block Scheme,Stimulus Number,Stimulus Type,Subject Response,Play Count,Trial Start Timestamp,Play Button Clicked Timestamp,Audio Start Timestamp,Audio End Timestamp,Subject Response Timestamp
03192026001,imagined_sentence,1760150,target,distractor,1,734167334074900,734174531589300,734174531589700,734175201589700,734184440386900
03192026001,imagined_sentence,201567,distractor,target,1,734186443728300,734192839067200,734192839067700,734193509067700,734196309171000
03192026001,imagined_sentence,988974,target,target,1,734198313579200,734199701751300,734199701751800,734200371751800,734203695135600
03192026001,imagined_sentence,616206,target,distractor,1,734205700469800,734207160448200,734207160448400,734207830448400,734209515583500
03192026001,imagined_sentence,1535124,target,target,1,734211519733700,734212927788700,734212927789200,734213597789200,734215415213200
03192026001,imagined_sentence,2100075,distractor,target,1,734217418297800,734218864977300,734218864977600,734219534977600,734222488411300
03192026001,imagined_sentence,1791871,distractor,distractor,1,734224492467600,734226187776700,734226187777000,734226857777000,734228696023100
03192026001,imagined_sentence,832705,distractor,target,1,734230698958300,734232871728000,734232871728200,734233541728200,734236144530100
03192026001,imagined_sentence,1848811,target,target,1,734238149116700,734239925221700,734239925222200,734240595222200,734242830502100
03192026001,imagined_sentence,2030905,target,distractor,1,734244833872300,734247828939300,734247828939700,734248498939700,734249857210200
03192026001,imagined_sentence,1588337,target,distractor,1,734251860537300,734253341567100,734253341567500,734254011567500,734256996314900
03192026001,imagined_sentence,2375287,target,distractor,1,734259000289000,734264979052800,734264979053100,734265649053100,734268238453600
03192026001,imagined_sentence,1793105,target,target,1,734270242542000,734271911255300,734271911255600,734272581255600,734275830382500
03192026001,imagined_sentence,876536,distractor,distractor,1,734277833939000,734279258105000,734279258105500,734279928105500,734286417165100
03192026001,imagined_sentence,1182143,target,target,1,734288420711600,734289911362900,734289911363200,734290581363200,734293179972600
03192026001,imagined_sentence,1568904,distractor,distractor,1,734320771793400,734321189518200,734321189518600,734321859518600,734325562987300
03192026001,imagined_sentence,1206056,distractor,target,1,734327567202200,734328919907600,734328919907900,734329589907900,734330920407800
03192026001,imagined_sentence,1851855,distractor,target,1,734332924091000,734334310165500,734334310165900,734334980165900,734342010214900
03192026001,imagined_sentence,6207,target,target,1,734344014437400,734345591987300,734345591987600,734346261987600,734349855852400
03192026001,imagined_sentence,2540015,distractor,target,1,734351859446600,734353559961000,734353559961400,734354229961400,734357964663100
03192026001,imagined_sentence,805150,distractor,distractor,1,734359968033800,734361309156700,734361309157100,734361979157100,734363281077500
03192026001,imagined_sentence,2455734,distractor,distractor,1,734365285442400,734366788191600,734366788192100,734367458192100,734369688091900
03192026001,imagined_sentence,846716,distractor,target,1,734371691133400,734373272394000,734373272394300,734373942394300,734375256091600
03192026001,imagined_sentence,1916328,target,distractor,1,734377259400000,734378964276800,734378964277300,734379634277300,734380746042100
03192026001,imagined_sentence,1929764,target,target,1,734382749385200,734384258786300,734384258786500,734384928786500,734386406228500
03192026001,imagined_sentence,1883593,target,target,1,734388409349800,734390997056800,734390997057100,734391667057100,734393606924300
03192026001,imagined_sentence,1823357,distractor,target,1,734395610443600,734397479334300,734397479334600,734398149334600,734403706255200
03192026001,imagined_sentence,550864,distractor,distractor,1,734405710335600,734408652970200,734408652970500,734409322970500,734410973442400
03192026001,imagined_sentence,1468650,distractor,target,1,734412976796400,734414335531500,734414335531900,734415005531900,734417122778600
03192026001,imagined_sentence,1300288,target,distractor,1,734419126308700,734420773958000,734420773958400,734421443958400,734422607438800
03192026001,imagined_sentence,383122,distractor,distractor,1,734438914973900,734440415245000,734440415245200,734441085245200,734442787125600
03192026001,imagined_sentence,1882578,target,distractor,1,734444790517100,734446267425900,734446267426200,734446937426200,734447831596000
03192026001,imagined_sentence,2519736,distractor,target,1,734449834413800,734450965142200,734450965142400,734451635142400,734452550809800
03192026001,imagined_sentence,173924,target,target,1,734454554359400,734455760063400,734455760063700,734456430063700,734457223854700
03192026001,imagined_sentence,685150,target,distractor,1,734459227523600,734461007946200,734461007946400,734461677946400,734462693328100
03192026001,imagined_sentence,1416385,distractor,target,1,734464697276100,734466198575400,734466198575700,734466868575700,734467858050200
03192026001,imagined_sentence,770646,distractor,distractor,1,734469862064000,734471565721600,734471565721900,734472235721900,734473522375100
