Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2984592438120900,0,0.0
button_click:actual_audio,2984640277953500,47839.833,47.839833
button_click:target_0,2984644264938900,3986.985,3.986985
button_click:target_1,2984646992293800,2727.355,2.727355
button_click:target_2,2984649657011200,2664.717,2.664717
button_click:actual_audio,2984652621243700,2964.233,2.964233
button_click:distractor_0,2984654865506200,2244.262,2.244263
button_click:distractor_1,2984657388625700,2523.119,2.523119
button_click:distractor_2,2984660633684500,3245.059,3.245059
button_click:continue,2984663612349700,2978.665,2.978665
