Subject Number,Block Scheme,Stimulus Number,Stimulus Type,Subject Response,Play Count,Trial Start Timestamp,Play Button Clicked Timestamp,Audio Start Timestamp,Audio End Timestamp,Subject Response Timestamp
04042026002,full_sentence,2645024,distractor,target,1,169225074918300,169227576679400,169227576680100,169229466680100,169229755036900
04042026002,full_sentence,63332,distractor,distractor,1,169231767139300,169233036092900,169233036093600,169234926093600,169235515434700
04042026002,full_sentence,2070670,target,distractor,1,169237527643300,169238040058400,169238040059300,169239930059300,169240129935100
04042026002,full_sentence,724605,target,distractor,1,169242137895100,169242883949800,169242883950500,169244773950500,169245114496100
04042026002,full_sentence,2675662,target,distractor,1,169247121148300,169247910921100,169247910921800,169249800921800,169250085104900
04042026002,full_sentence,1717516,distractor,target,1,169252092431900,169252661540100,169252661540800,169254551540800,169254768221400
04042026002,full_sentence,1782091,distractor,target,1,169256782493300,169257715112700,169257715113400,169259605113400,169260157634000
04042026002,full_sentence,1152401,target,distractor,1,169262164115200,169263197360100,169263197360800,169265087360800,169266414419700
04042026002,full_sentence,351794,distractor,distractor,1,169268421191400,169269386792300,169269386793000,169271276793000,169271378715600
04042026002,full_sentence,417922,distractor,target,1,169273385204500,169274520486700,169274520487400,169276410487400,169277212343000
04042026002,full_sentence,83820,distractor,distractor,1,169279219050300,169279975796500,169279975797200,169281865797200,169282163019300
04042026002,full_sentence,1500770,target,distractor,1,169284169666400,169284979956300,169284979956900,169286869956900,169287105291800
04042026002,full_sentence,1055025,target,distractor,1,169289117706600,169289873552900,169289873553600,169291763553600,169292094319400
04042026002,full_sentence,2265258,target,target,1,169294101365100,169294650504700,169294650505400,169296540505400,169296947996200
04042026002,full_sentence,1286055,distractor,target,1,169298955199000,169299611481700,169299611482300,169301501482300,169301935412700
04042026002,full_sentence,2487625,target,target,1,169316399937800,169317083640800,169317083641300,169318973641300,169319290685900
04042026002,full_sentence,914835,target,distractor,1,169321297260100,169322067787400,169322067788400,169323957788400,169324431687500
04042026002,full_sentence,1673472,distractor,target,1,169326438726700,169327481941500,169327481942200,169329371942200,169329717455400
04042026002,full_sentence,793673,target,distractor,1,169331724010300,169333182737000,169333182737700,169335072737700,169335269112500
04042026002,full_sentence,2690790,target,target,1,169337276322400,169338144834100,169338144834800,169340034834800,169340795789100
04042026002,full_sentence,422402,target,target,1,169342802543400,169344015671200,169344015671900,169345905671900,169346328997100
04042026002,full_sentence,2530401,target,distractor,1,169348343459100,169349887361000,169349887361600,169351777361600,169352035194200
04042026002,full_sentence,2098961,distractor,distractor,1,169354042040400,169354867767400,169354867768200,169356757768200,169357452402300
04042026002,full_sentence,772560,distractor,target,1,169359458757400,169360437412500,169360437413200,169362327413200,169362739595000
04042026002,full_sentence,2578028,distractor,target,1,169364746760400,169365770245200,169365770245900,169367660245900,169368267430400
04042026002,full_sentence,80741,target,target,1,169370274172300,169371121470000,169371121470700,169373011470700,169373845187900
04042026002,full_sentence,2152103,distractor,distractor,1,169375859329300,169376621895300,169376621896000,169378511896000,169378994379600
04042026002,full_sentence,933016,distractor,target,1,169381001227400,169381847140800,169381847141500,169383737141500,169384261188800
04042026002,full_sentence,1248677,distractor,distractor,1,169386267608100,169386780446200,169386780446900,169388670446900,169389303156800
04042026002,full_sentence,469558,target,distractor,1,169391309945600,169392123988100,169392123988800,169394013988800,169394825932500
04042026002,full_sentence,1560586,distractor,distractor,1,169407999983300,169408767582500,169408767583200,169410657583200,169412271506300
04042026002,full_sentence,854858,target,target,1,169414277927700,169414612767100,169414612767800,169416502767800,169417542568400
04042026002,full_sentence,2363886,target,distractor,1,169419549172800,169420281306600,169420281307400,169422171307400,169422804098500
04042026002,full_sentence,1976046,target,distractor,1,169424812088900,169425590109600,169425590110300,169427480110300,169428336873300
04042026002,full_sentence,364046,distractor,distractor,1,169430344194100,169430789469400,169430789470100,169432679470100,169433292527600
04042026002,full_sentence,1619569,target,distractor,1,169435298965500,169436035660200,169436035660800,169437925660800,169439276860800
04042026002,full_sentence,972144,distractor,target,1,169441290793600,169441667651800,169441667652500,169443557652500,169445482630500
04042026002,full_sentence,1325540,target,target,1,169447489325700,169448512584800,169448512585400,169450402585400,169450914983200
04042026002,full_sentence,389188,target,target,1,169452927193000,169454107636800,169454107637500,169455997637500,169456731808000
04042026002,full_sentence,137369,target,target,1,169458738176800,169459584613500,169459584614200,169461474614200,169462403983300
04042026002,full_sentence,2184351,distractor,target,1,169464411050400,169465412909400,169465412910100,169467302910100,169467948374300
04042026002,full_sentence,2253127,target,distractor,1,169469955042400,169471101374900,169471101375600,169472991375600,169474170669500
04042026002,full_sentence,2416540,distractor,distractor,1,169476177355900,169476547881000,169476547881800,169478437881800,169478981308200
04042026002,full_sentence,552066,distractor,target,1,169480987995800,169481623003200,169481623003900,169483513003900,169485499001800
04042026002,full_sentence,996037,target,distractor,1,169487506622900,169488072743900,169488072744600,169489962744600,169490353612400
04042026002,full_sentence,1784932,target,target,1,169506946696000,169507739769800,169507739770500,169509629770500,169510668033300
04042026002,full_sentence,1474554,target,distractor,1,169512681875000,169513438847200,169513438847900,169515328847900,169515703420900
04042026002,full_sentence,2474088,target,target,1,169517716399600,169518459905700,169518459906300,169520349906300,169520829561900
04042026002,full_sentence,1067883,distractor,distractor,1,169522836068900,169523436111900,169523436112500,169525326112500,169526005295900
04042026002,full_sentence,341881,target,distractor,1,169528013806000,169528835386700,169528835387400,169530725387400,169531093628500
04042026002,full_sentence,1950306,target,distractor,1,169533100174200,169533724009700,169533724010400,169535614010400,169537184770000
04042026002,full_sentence,1708892,distractor,distractor,1,169539191464000,169540437111900,169540437112600,169542327112600,169542711408300
04042026002,full_sentence,1633194,distractor,distractor,1,169544723665400,169545513109300,169545513110100,169547403110100,169547971597700
04042026002,full_sentence,1372543,distractor,target,1,169549979069200,169550490245500,169550490246200,169552380246200,169553404300800
04042026002,full_sentence,1995467,distractor,distractor,1,169555410803600,169555802629400,169555802630100,169557692630100,169558109066900
04042026002,full_sentence,2649655,target,target,1,169560116221300,169560395361200,169560395361900,169562285361900,169563219260300
04042026002,full_sentence,1154680,distractor,target,1,169565225758300,169565801020400,169565801021200,169567691021200,169568146585700
04042026002,full_sentence,2534050,target,target,1,169570160850200,169571283930100,169571283930700,169573173930700,169573607433800
04042026002,full_sentence,2118128,distractor,distractor,1,169575613858800,169576383519200,169576383519800,169578273519800,169578795235500
04042026002,full_sentence,19389,target,target,1,169580801656900,169582326468200,169582326469000,169584216469000,169584675200600
04042026002,full_sentence,710781,target,target,1,169596773741400,169598011864800,169598011865500,169599901865500,169600099842900
04042026002,full_sentence,2204030,distractor,distractor,1,169602106905400,169602875418800,169602875420000,169604765420000,169605423750500
04042026002,full_sentence,837594,distractor,distractor,1,169607430569800,169607809896500,169607809897200,169609699897200,169610855182700
04042026002,full_sentence,1377011,target,target,1,169612862585500,169613652635300,169613652636000,169615542636000,169616389101100
04042026002,full_sentence,2241916,target,target,1,169618395613800,169618829664600,169618829665200,169620719665200,169621348881800
04042026002,full_sentence,2634690,distractor,distractor,1,169623363626300,169623686065600,169623686066300,169625576066300,169625909269200
04042026002,full_sentence,1789042,distractor,distractor,1,169627916516200,169628717256700,169628717257300,169630607257300,169630980221800
04042026002,full_sentence,1324224,distractor,distractor,1,169632987719200,169633633223600,169633633224600,169635523224600,169636281707700
04042026002,full_sentence,1832684,distractor,distractor,1,169638288597200,169639223086400,169639223087200,169641113087200,169641612813900
04042026002,full_sentence,578254,target,distractor,1,169643625635100,169644259417700,169644259418400,169646149418400,169646495994900
04042026002,full_sentence,2216495,target,target,1,169648508119500,169649109762400,169649109763100,169650999763100,169651420488500
04042026002,full_sentence,1755600,distractor,target,1,169653426970100,169654364493600,169654364494100,169656254494100,169656566785600
04042026002,full_sentence,1673452,distractor,target,1,169658581956100,169659124862300,169659124863100,169661014863100,169662116513300
04042026002,full_sentence,1974580,distractor,target,1,169664128644600,169664852476800,169664852477600,169666742477600,169667444015500
04042026002,full_sentence,966129,distractor,distractor,1,169669456240400,169669835681100,169669835681700,169671725681700,169671899344600
04042026002,full_sentence,1531735,distractor,distractor,1,169685627716300,169686588198000,169686588198900,169688478198900,169688681539700
04042026002,full_sentence,1879648,distractor,distractor,1,169690688667700,169691243252400,169691243253100,169693133253100,169693636499400
04042026002,full_sentence,1558811,target,target,1,169695643028000,169696321260800,169696321261500,169698211261500,169698758044900
04042026002,full_sentence,1204336,target,target,1,169700764721000,169701444565300,169701444566000,169703334566000,169704446900100
04042026002,full_sentence,393679,target,distractor,1,169706453586200,169706747710100,169706747710900,169708637710900,169708995944200
04042026002,full_sentence,2594432,distractor,distractor,1,169711002358700,169711349858900,169711349859600,169713239859600,169713634576500
04042026002,full_sentence,2557564,distractor,target,1,169715641452700,169716219619900,169716219620600,169718109620600,169718844462400
04042026002,full_sentence,936885,target,distractor,1,169720851114300,169721388237300,169721388238100,169723278238100,169723829650300
04042026002,full_sentence,270720,target,target,1,169725836430600,169726491228400,169726491229100,169728381229100,169730877771900
04042026002,full_sentence,847501,distractor,distractor,1,169732884403200,169733599457100,169733599458100,169735489458100,169736571178000
04042026002,full_sentence,185130,distractor,distractor,1,169738578717900,169739948435200,169739948435900,169741838435900,169742451783900
04042026002,full_sentence,2065486,target,distractor,1,169744468762400,169745399370300,169745399371000,169747289371000,169748085248100
04042026002,full_sentence,436049,target,target,1,169750098027200,169750956141600,169750956142200,169752846142200,169753411665400
04042026002,full_sentence,1361457,target,distractor,1,169755418127900,169755743454300,169755743454900,169757633454900,169759211682700
04042026002,full_sentence,1361028,target,target,1,169761218001800,169762053389100,169762053389600,169763943389600,169764539347300
04042026002,full_sentence,2380621,distractor,target,1,169778184106200,169779142302500,169779142303200,169781032303200,169781767407600
04042026002,full_sentence,1989589,target,distractor,1,169783773774000,169784577479700,169784577480300,169786467480300,169787190232900
04042026002,full_sentence,1285990,distractor,distractor,1,169789202496100,169790014172500,169790014173100,169791904173100,169792329699400
04042026002,full_sentence,514473,target,target,1,169794336114500,169794973754700,169794973755400,169796863755400,169797282158000
04042026002,full_sentence,656999,target,target,1,169799297067900,169799763777800,169799763778400,169801653778400,169802197983500
04042026002,full_sentence,490292,distractor,target,1,169804204842600,169804796863100,169804796863800,169806686863800,169807792772900
04042026002,full_sentence,2209737,target,distractor,1,169809799178800,169810080143200,169810080143900,169811970143900,169812491302000
04042026002,full_sentence,144254,distractor,distractor,1,169814503532200,169815060812200,169815060812900,169816950812900,169817491159300
04042026002,full_sentence,2456914,distractor,distractor,1,169819503273000,169820027359100,169820027359700,169821917359700,169824587341200
04042026002,full_sentence,1084017,target,distractor,1,169826599381300,169827167268300,169827167268900,169829057268900,169829780884600
04042026002,full_sentence,930786,distractor,distractor,1,169831787168700,169832401457900,169832401458600,169834291458600,169834924940000
04042026002,full_sentence,2457843,distractor,target,1,169836939262500,169837264803200,169837264803900,169839154803900,169839424261600
04042026002,full_sentence,1845027,distractor,distractor,1,169841436741600,169841792895000,169841792895700,169843682895700,169844641810800
04042026002,full_sentence,323739,distractor,target,1,169846654880700,169846953179200,169846953179800,169848843179800,169849278059200
04042026002,full_sentence,503104,distractor,distractor,1,169851284694200,169851997631400,169851997632100,169853887632100,169854538330800
04042026002,full_sentence,1921945,distractor,target,1,169870191842500,169871228054200,169871228054900,169873118054900,169873618196500
04042026002,full_sentence,2034167,distractor,target,1,169875624880600,169876393819800,169876393820700,169878283820700,169878613662700
04042026002,full_sentence,1303598,target,distractor,1,169880620034200,169881409229500,169881409230200,169883299230200,169883789213100
04042026002,full_sentence,1667784,distractor,distractor,1,169885795943900,169886298844300,169886298845000,169888188845000,169888791119300
04042026002,full_sentence,953491,target,distractor,1,169890798387500,169891124417600,169891124418200,169893014418200,169893471101700
04042026002,full_sentence,2490211,target,distractor,1,169895478066600,169896147839600,169896147840300,169898037840300,169898415754200
04042026002,full_sentence,177749,target,target,1,169900422422300,169901026018800,169901026019500,169902916019500,169903255288100
04042026002,full_sentence,681938,target,distractor,1,169905261681700,169906073638400,169906073639100,169907963639100,169908747293100
04042026002,full_sentence,2669502,target,target,1,169910761381900,169911628321600,169911628322300,169913518322300,169914116295000
04042026002,full_sentence,1430067,target,target,1,169916128744200,169917167417600,169917167418300,169919057418300,169919775191300
04042026002,full_sentence,2276260,target,target,1,169921782070600,169922607293900,169922607294500,169924497294500,169925024873000
04042026002,full_sentence,633301,distractor,distractor,1,169927031287900,169927961463500,169927961464200,169929851464200,169930307259500
04042026002,full_sentence,2501681,target,target,1,169932315133500,169933318047200,169933318048000,169935208048000,169936541212700
04042026002,full_sentence,499550,distractor,distractor,1,169938547761300,169938849172800,169938849173400,169940739173400,169941262425700
04042026002,full_sentence,1038202,target,target,1,169943278406100,169944054064300,169944054065100,169945944065100,169947647716300
04042026002,full_sentence,2654756,target,distractor,1,169958890443600,169960359456700,169960359457300,169962249457300,169962851288700
04042026002,full_sentence,390337,distractor,distractor,1,169964858074800,169965780488300,169965780489000,169967670489000,169968361322400
04042026002,full_sentence,135747,target,distractor,1,169970373550600,169971564315500,169971564316200,169973454316200,169974034788800
04042026002,full_sentence,2514923,target,distractor,1,169976041484800,169977527793400,169977527794100,169979417794100,169979869513700
04042026002,full_sentence,1585751,target,distractor,1,169981876261400,169982297830700,169982297831400,169984187831400,169985099915000
04042026002,full_sentence,2433065,target,target,1,169987106356100,169987980342900,169987980343600,169989870343600,169990399401300
04042026002,full_sentence,588063,distractor,distractor,1,169992406468300,169993019999000,169993019999600,169994909999600,169995444758700
04042026002,full_sentence,33624,distractor,target,1,169997451323000,169999492526400,169999492527100,170001382527100,170001872317000
04042026002,full_sentence,1512885,target,distractor,1,170003879001800,170004324263500,170004324264100,170006214264100,170006781703500
04042026002,full_sentence,351826,distractor,target,1,170008788410700,170009770359400,170009770360000,170011660360000,170012082119600
04042026002,full_sentence,320025,distractor,target,1,170014088796100,170015212549000,170015212549700,170017102549700,170018940456200
04042026002,full_sentence,920816,distractor,distractor,1,170020956301900,170022104165500,170022104166200,170023994166200,170024481688300
04042026002,full_sentence,1455560,distractor,distractor,1,170026494110900,170027153070400,170027153071100,170029043071100,170029871467300
04042026002,full_sentence,2354618,target,target,1,170031878139800,170032180606300,170032180607100,170034070607100,170034948458100
04042026002,full_sentence,2514716,distractor,distractor,1,170036954801600,170037288974900,170037288975500,170039178975500,170039647105000
04042026002,full_sentence,690453,distractor,distractor,1,170052123769900,170053244203500,170053244204200,170055134204200,170056072185300
04042026002,full_sentence,2455086,target,target,1,170058081097400,170058739086900,170058739087600,170060629087600,170061352960200
04042026002,full_sentence,1559140,distractor,distractor,1,170063359797400,170063728023300,170063728024000,170065618024000,170066173751900
04042026002,full_sentence,2097875,distractor,distractor,1,170068187713500,170068643244600,170068643245300,170070533245300,170071111212500
04042026002,full_sentence,1841210,target,distractor,1,170073117974500,170073463855700,170073463856300,170075353856300,170075923858500
04042026002,full_sentence,1797030,distractor,target,1,170077930265600,170078764831400,170078764832100,170080654832100,170081188039800
04042026002,full_sentence,314781,target,target,1,170083194729900,170083940513400,170083940514000,170085830514000,170086367421300
04042026002,full_sentence,1881701,target,target,1,170088379486500,170089212825200,170089212825800,170091102825800,170091743253700
04042026002,full_sentence,1556070,target,target,1,170093750237600,170094028817600,170094028818500,170095918818500,170096642508800
04042026002,full_sentence,1893147,distractor,distractor,1,170098655493100,170098957332300,170098957333000,170100847333000,170101413937900
04042026002,full_sentence,1604178,target,distractor,1,170103426128000,170103695208200,170103695208800,170105585208800,170106513413100
04042026002,full_sentence,1617401,distractor,target,1,170108521949000,170108854544000,170108854544700,170110744544700,170111940673500
04042026002,full_sentence,1154913,target,target,1,170113947134900,170114516933000,170114516933600,170116406933600,170116851663700
04042026002,full_sentence,254758,distractor,target,1,170118859107200,170119348234300,170119348235100,170121238235100,170122045996800
