Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,178631463183400,0,0.0
key_press:space_intro,178644063824600,12600.641,12.600641
screen_presented:Q1,178644083111600,19.287,0.019287
option_selected:Q1_option3,178649535895000,5452.783,5.452783
submit_clicked:Q1,178650694202400,1158.307,1.158307
screen_presented:Q2,178650694446700,0.244,0.000244
option_selected:Q2_option4,178653322920300,2628.474,2.628474
submit_clicked:Q2,178654512485900,1189.566,1.189566
screen_presented:Q3,178654512740600,0.255,0.000255
option_selected:Q3_option3,178657757184400,3244.444,3.244444
option_selected:Q3_option4,178662821313600,5064.129,5.064129
submit_clicked:Q3,178663699030800,877.717,0.877717
screen_presented:Q4,178663699280500,0.250,0.000250
option_selected:Q4_option3,178667142875300,3443.595,3.443595
option_selected:Q4_option2,178668444406300,1301.531,1.301531
submit_clicked:Q4,178669245621800,801.216,0.801215
screen_presented:Q5,178669245872600,0.251,0.000251
option_selected:Q5_option3,178673414878100,4169.006,4.169005
submit_clicked:Q5,178674304374700,889.497,0.889497
screen_presented:Q6,178674304611300,0.237,0.000237
option_selected:Q6_option4,178677109552000,2804.941,2.804941
submit_clicked:Q6,178678269678300,1160.126,1.160126
screen_presented:Q7,178678269933500,0.255,0.000255
option_selected:Q7_option0,178684131496400,5861.563,5.861563
submit_clicked:Q7,178684902022500,770.526,0.770526
screen_presented:Q8,178684902294200,0.272,0.000272
option_selected:Q8_option4,178688374019800,3471.726,3.471726
submit_clicked:Q8,178689103123000,729.103,0.729103
screen_presented:Q9,178689103372400,0.249,0.000249
option_selected:Q9_option0,178692468085200,3364.713,3.364713
submit_clicked:Q9,178693403690600,935.605,0.935605
screen_presented:Q10,178693403894300,0.204,0.000204
option_selected:Q10_option0,178697317384300,3913.490,3.913490
submit_clicked:Q10,178698055831300,738.447,0.738447
screen_presented:Q11,178698056092500,0.261,0.000261
option_selected:Q11_option0,178705359965400,7303.873,7.303873
option_selected:Q11_option2,178706841846300,1481.881,1.481881
submit_clicked:Q11,178708310230300,1468.384,1.468384
screen_presented:Q12,178708310476400,0.246,0.000246
option_selected:Q12_option4,178713431874900,5121.399,5.121398
submit_clicked:Q12,178714246502500,814.628,0.814628
screen_presented:Q13,178714246760400,0.258,0.000258
option_selected:Q13_option0,178717693648400,3446.888,3.446888
submit_clicked:Q13,178718598286400,904.638,0.904638
screen_presented:Q14,178718598532200,0.246,0.000246
option_selected:Q14_option3,178722391254900,3792.723,3.792723
submit_clicked:Q14,178723664297000,1273.042,1.273042
screen_presented:Q15,178723664555900,0.259,0.000259
option_selected:Q15_option0,178726669550400,3004.994,3.004995
submit_clicked:Q15,178727870213500,1200.663,1.200663
screen_presented:Q16,178727870450100,0.237,0.000237
option_selected:Q16_option3,178731725591000,3855.141,3.855141
submit_clicked:Q16,178732512809000,787.218,0.787218
