Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,14400345248900,0,0.0
key_press:space_intro,14424853006200,24507.757,24.507757
screen_presented:Q1,14424875929000,22.923,0.022923
option_selected:Q1_option4,14439272080100,14396.151,14.396151
submit_clicked:Q1,14440309186900,1037.107,1.037107
screen_presented:Q2,14440309434700,0.248,0.000248
option_selected:Q2_option5,14449366204200,9056.770,9.056769
submit_clicked:Q2,14450589496700,1223.293,1.223292
screen_presented:Q3,14450589750000,0.253,0.000253
option_selected:Q3_option5,14459100655300,8510.905,8.510905
submit_clicked:Q3,14460645687900,1545.033,1.545033
screen_presented:Q4,14460645943100,0.255,0.000255
option_selected:Q4_option3,14468470126600,7824.184,7.824184
submit_clicked:Q4,14469430376000,960.249,0.960249
screen_presented:Q5,14469430635000,0.259,0.000259
option_selected:Q5_option4,14477196171900,7765.537,7.765537
submit_clicked:Q5,14479437278900,2241.107,2.241107
screen_presented:Q6,14479437547500,0.269,0.000269
option_selected:Q6_option4,14490459506000,11021.959,11.021959
submit_clicked:Q6,14492180177100,1720.671,1.720671
screen_presented:Q7,14492180427000,0.250,0.000250
option_selected:Q7_option2,14500438048600,8257.622,8.257622
submit_clicked:Q7,14501893844400,1455.796,1.455796
screen_presented:Q8,14501894112500,0.268,0.000268
option_selected:Q8_option4,14512324490000,10430.378,10.430378
submit_clicked:Q8,14513270434900,945.945,0.945945
screen_presented:Q9,14513270688300,0.253,0.000253
option_selected:Q9_option4,14521082017700,7811.329,7.811329
option_selected:Q9_option3,14523076844400,1994.827,1.994827
submit_clicked:Q9,14523911953000,835.109,0.835109
screen_presented:Q10,14523912216700,0.264,0.000264
option_selected:Q10_option4,14531309012500,7396.796,7.396796
submit_clicked:Q10,14532422421800,1113.409,1.113409
screen_presented:Q11,14532422697700,0.276,0.000276
option_selected:Q11_option6,14542593561400,10170.864,10.170864
submit_clicked:Q11,14543566647700,973.086,0.973086
screen_presented:Q12,14543566894800,0.247,0.000247
option_selected:Q12_option5,14552492036000,8925.141,8.925141
submit_clicked:Q12,14554115547200,1623.511,1.623511
screen_presented:Q13,14554115805900,0.259,0.000259
option_selected:Q13_option5,14564154466400,10038.660,10.038661
submit_clicked:Q13,14565615349200,1460.883,1.460883
screen_presented:Q14,14565615608100,0.259,0.000259
option_selected:Q14_option2,14572678731100,7063.123,7.063123
submit_clicked:Q14,14574254072100,1575.341,1.575341
