Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,14289941695100,0,0.0
key_press:space_intro,14297469537100,7527.842,7.527842
screen_presented:Q1,14297487586200,18.049,0.018049
option_selected:Q1_option1,14304532812800,7045.227,7.045227
submit_clicked:Q1,14305796195000,1263.382,1.263382
screen_presented:Q2,14305796437700,0.243,0.000243
option_selected:Q2_option1,14314120918700,8324.481,8.324481
submit_clicked:Q2,14315284238100,1163.319,1.163319
screen_presented:Q3,14315284475200,0.237,0.000237
option_selected:Q3_option1,14319438190400,4153.715,4.153715
submit_clicked:Q3,14320958557600,1520.367,1.520367
screen_presented:Q4,14320958796800,0.239,0.000239
option_selected:Q4_option2,14325632085300,4673.288,4.673288
submit_clicked:Q4,14326773886800,1141.802,1.141801
screen_presented:Q5,14326774135700,0.249,0.000249
option_selected:Q5_option3,14330739785100,3965.649,3.965649
submit_clicked:Q5,14332084191400,1344.406,1.344406
screen_presented:Q6,14332084422200,0.231,0.000231
option_selected:Q6_option4,14337310244000,5225.822,5.225822
submit_clicked:Q6,14338173238400,862.994,0.862994
screen_presented:Q7,14338173477900,0.239,0.000239
option_selected:Q7_option1,14342839878400,4666.400,4.666400
submit_clicked:Q7,14344341052900,1501.175,1.501175
screen_presented:Q8,14344341291100,0.238,0.000238
option_selected:Q8_option1,14351646284000,7304.993,7.304993
option_selected:Q8_option2,14353595257400,1948.973,1.948973
submit_clicked:Q8,14354606038900,1010.782,1.010781
screen_presented:Q9,14354606287300,0.248,0.000248
option_selected:Q9_option4,14359558623000,4952.336,4.952336
submit_clicked:Q9,14360468648400,910.025,0.910025
screen_presented:Q10,14360468892600,0.244,0.000244
option_selected:Q10_option1,14363623836300,3154.944,3.154944
submit_clicked:Q10,14365252512900,1628.677,1.628677
screen_presented:Q11,14365252759500,0.247,0.000247
option_selected:Q11_option2,14370997947700,5745.188,5.745188
submit_clicked:Q11,14372599386800,1601.439,1.601439
screen_presented:Q12,14372599631000,0.244,0.000244
option_selected:Q12_option4,14377293172900,4693.542,4.693542
submit_clicked:Q12,14378424940300,1131.767,1.131767
screen_presented:Q13,14378425181000,0.241,0.000241
option_selected:Q13_option2,14390470096900,12044.916,12.044916
submit_clicked:Q13,14391358728600,888.632,0.888632
screen_presented:Q14,14391358974100,0.245,0.000246
option_selected:Q14_option4,14399571272100,8212.298,8.212298
submit_clicked:Q14,14400334168200,762.896,0.762896
