Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,13828779434300,0,0.0
key_press:space_intro,13833444776100,4665.342,4.665342
screen_presented:Q1,13833472966300,28.190,0.028190
option_selected:Q1_option0,13837523108000,4050.142,4.050142
submit_clicked:Q1,13838517540000,994.432,0.994432
screen_presented:Q2,13838517780100,0.240,0.000240
option_selected:Q2_option0,13846229526000,7711.746,7.711746
submit_clicked:Q2,13846910195200,680.669,0.680669
screen_presented:Q3,13846910448300,0.253,0.000253
option_selected:Q3_option1,13854424210000,7513.762,7.513762
submit_clicked:Q3,13855419204800,994.995,0.994995
screen_presented:Q4,13855419448800,0.244,0.000244
option_selected:Q4_option1,13859092879200,3673.430,3.673430
submit_clicked:Q4,13860132031400,1039.152,1.039152
screen_presented:Q5,13860132286300,0.255,0.000255
option_selected:Q5_option1,13864452067300,4319.781,4.319781
submit_clicked:Q5,13865653061800,1200.995,1.200994
screen_presented:Q6,13865653304300,0.242,0.000243
option_selected:Q6_option1,13870011563300,4358.259,4.358259
submit_clicked:Q6,13871046031300,1034.468,1.034468
screen_presented:Q7,13871046280000,0.249,0.000249
option_selected:Q7_option1,13874980594400,3934.314,3.934314
submit_clicked:Q7,13876075795700,1095.201,1.095201
screen_presented:Q8,13876076054300,0.259,0.000259
option_selected:Q8_option1,13885438142400,9362.088,9.362088
submit_clicked:Q8,13887883704100,2445.562,2.445562
screen_presented:Q9,13887883946500,0.242,0.000242
option_selected:Q9_option1,13898675943900,10791.997,10.791997
submit_clicked:Q9,13899612210700,936.267,0.936267
screen_presented:Q10,13899612456600,0.246,0.000246
option_selected:Q10_option1,13904828922500,5216.466,5.216466
submit_clicked:Q10,13905607763700,778.841,0.778841
screen_presented:Q11,13905608007700,0.244,0.000244
option_selected:Q11_option1,13908765092300,3157.085,3.157085
submit_clicked:Q11,13909507521600,742.429,0.742429
screen_presented:Q12,13909507766500,0.245,0.000245
option_selected:Q12_option1,13917998180400,8490.414,8.490414
submit_clicked:Q12,13918892094500,893.914,0.893914
screen_presented:Q13,13918892348700,0.254,0.000254
option_selected:Q13_option1,13932774713200,13882.364,13.882364
submit_clicked:Q13,13933822329900,1047.617,1.047617
screen_presented:Q14,13933822575700,0.246,0.000246
option_selected:Q14_option1,13937492630600,3670.055,3.670055
submit_clicked:Q14,13938485261400,992.631,0.992631
