Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,20593576785100,0,0.0
button_click:actual_audio,20595410114600,1833.330,1.833330
button_click:target_0,20598083782700,2673.668,2.673668
button_click:target_1,20601487512800,3403.730,3.403730
button_click:target_2,20605228107100,3740.594,3.740594
button_click:actual_audio,20608766839400,3538.732,3.538732
button_click:distractor_0,20611574183800,2807.344,2.807344
button_click:distractor_1,20614780674200,3206.490,3.206490
button_click:distractor_2,20617320867800,2540.194,2.540194
button_click:target_2,20619728758600,2407.891,2.407891
button_click:distractor_2,20622204699500,2475.941,2.475941
button_click:target_1,20624746917700,2542.218,2.542218
button_click:distractor_1,20627289224700,2542.307,2.542307
button_click:target_0,20629626568200,2337.343,2.337343
button_click:distractor_0,20632032222700,2405.655,2.405654
button_click:target_1,20634974324600,2942.102,2.942102
button_click:actual_audio,20637248076900,2273.752,2.273752
button_click:continue,20639654784800,2406.708,2.406708
