Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,18559835260400,0,0.0
button_click:actual_audio,18573414036900,13578.776,13.578777
button_click:target_0,18575555049300,2141.012,2.141012
button_click:target_1,18579142482700,3587.433,3.587433
button_click:target_2,18581661039400,2518.557,2.518557
button_click:actual_audio,18584053534600,2392.495,2.392495
button_click:distractor_0,18586068362500,2014.828,2.014828
button_click:distractor_1,18587769077600,1700.715,1.700715
button_click:distractor_2,18589468679500,1699.602,1.699602
button_click:target_0,18598343690500,8875.011,8.875011
button_click:target_0,18599856687800,1512.997,1.512997
button_click:target_0,18600802371600,945.684,0.945684
button_click:actual_audio,18602187955400,1385.584,1.385584
button_click:target_0,18603197491400,1009.536,1.009536
button_click:target_1,18604961368500,1763.877,1.763877
button_click:target_2,18606158240100,1196.872,1.196872
button_click:distractor_2,18607795627200,1637.387,1.637387
button_click:target_2,18609246237700,1450.611,1.450611
button_click:target_1,18610697495400,1451.258,1.451258
button_click:distractor_1,18611644033000,946.538,0.946538
button_click:target_0,18613032769800,1388.737,1.388737
button_click:distractor_0,18614044724700,1011.955,1.011955
button_click:target_1,18618268342700,4223.618,4.223618
button_click:distractor_1,18619150891300,882.549,0.882549
button_click:target_0,18620540686600,1389.795,1.389795
button_click:distractor_0,18621487394100,946.707,0.946708
button_click:target_2,18622687271000,1199.877,1.199877
button_click:distractor_2,18623571522200,884.251,0.884251
button_click:actual_audio,18625902407500,2330.885,2.330885
button_click:target_2,18626847865600,945.458,0.945458
button_click:distractor_2,18627736337200,888.472,0.888472
button_click:target_2,18630192651000,2456.314,2.456314
button_click:target_1,18631012146400,819.495,0.819495
button_click:target_0,18631896921400,884.775,0.884775
button_click:distractor_0,18632906038600,1009.117,1.009117
button_click:distractor_1,18633914936500,1008.898,1.008898
button_click:distractor_2,18634736494400,821.558,0.821558
button_click:target_2,18636123255900,1386.762,1.386761
button_click:target_1,18637070510200,947.254,0.947254
button_click:target_0,18637955696900,885.187,0.885187
button_click:actual_audio,18639848127000,1892.430,1.892430
button_click:continue,18640920485000,1072.358,1.072358
