Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,21604707651500,0,0.0
key_press:space_intro,21607804171600,3096.520,3.096520
screen_presented:Q1,21607813841100,9.669,0.009669
option_selected:Q1_option2,21613295558400,5481.717,5.481717
submit_clicked:Q1,21614452866200,1157.308,1.157308
screen_presented:Q2,21614453112600,0.246,0.000246
option_selected:Q2_option3,21616677783500,2224.671,2.224671
submit_clicked:Q2,21617945758300,1267.975,1.267975
screen_presented:Q3,21617946009200,0.251,0.000251
option_selected:Q3_option3,21619883626400,1937.617,1.937617
option_selected:Q3_option4,21621776852400,1893.226,1.893226
submit_clicked:Q3,21622581715400,804.863,0.804863
screen_presented:Q4,21622581957500,0.242,0.000242
option_selected:Q4_option1,21625341042400,2759.085,2.759085
submit_clicked:Q4,21626508948300,1167.906,1.167906
screen_presented:Q5,21626509187500,0.239,0.000239
option_selected:Q5_option4,21628027517400,1518.330,1.518330
submit_clicked:Q5,21628906527200,879.010,0.879010
screen_presented:Q6,21628906771300,0.244,0.000244
option_selected:Q6_option2,21631019463300,2112.692,2.112692
option_selected:Q6_option1,21632755199800,1735.736,1.735737
submit_clicked:Q6,21633644558600,889.359,0.889359
screen_presented:Q7,21633644803300,0.245,0.000245
option_selected:Q7_option4,21636835678600,3190.875,3.190875
submit_clicked:Q7,21637715130500,879.452,0.879452
screen_presented:Q8,21637715380400,0.250,0.000250
option_selected:Q8_option3,21639544293400,1828.913,1.828913
submit_clicked:Q8,21640355744200,811.451,0.811451
screen_presented:Q9,21640355996000,0.252,0.000252
option_selected:Q9_option0,21641852537200,1496.541,1.496541
submit_clicked:Q9,21642786823300,934.286,0.934286
