Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,21642788773900,0,0.0
key_press:space_intro,21645597795600,2809.022,2.809022
screen_presented:Q1,21645633588300,35.793,0.035793
option_selected:Q1_option1,21650859580200,5225.992,5.225992
submit_clicked:Q1,21652149158900,1289.579,1.289579
screen_presented:Q2,21652149403600,0.245,0.000245
option_selected:Q2_option3,21653797074100,1647.670,1.647671
submit_clicked:Q2,21654726308000,929.234,0.929234
screen_presented:Q3,21654726551300,0.243,0.000243
option_selected:Q3_option0,21658109789100,3383.238,3.383238
submit_clicked:Q3,21659469302900,1359.514,1.359514
screen_presented:Q4,21659469551600,0.249,0.000249
option_selected:Q4_option2,21670404865800,10935.314,10.935314
submit_clicked:Q4,21671672690400,1267.825,1.267825
screen_presented:Q5,21671672950600,0.260,0.000260
option_selected:Q5_option0,21675826707100,4153.757,4.153757
submit_clicked:Q5,21676784733900,958.027,0.958027
screen_presented:Q6,21676784977600,0.244,0.000244
option_selected:Q6_option3,21678422956500,1637.979,1.637979
submit_clicked:Q6,21679300402900,877.446,0.877446
screen_presented:Q7,21679300651400,0.248,0.000249
option_selected:Q7_option2,21682508588300,3207.937,3.207937
submit_clicked:Q7,21683576287500,1067.699,1.067699
screen_presented:Q8,21683576534100,0.247,0.000247
option_selected:Q8_option2,21687377746500,3801.212,3.801212
submit_clicked:Q8,21688288632900,910.886,0.910886
screen_presented:Q9,21688288879100,0.246,0.000246
option_selected:Q9_option0,21692084646500,3795.767,3.795767
submit_clicked:Q9,21693986520400,1901.874,1.901874
screen_presented:Q10,21693986780500,0.260,0.000260
option_selected:Q10_option1,21699130880100,5144.100,5.144100
submit_clicked:Q10,21699944674500,813.794,0.813794
screen_presented:Q11,21699944913100,0.239,0.000239
option_selected:Q11_option0,21702465137100,2520.224,2.520224
submit_clicked:Q11,21703236681500,771.544,0.771544
screen_presented:Q12,21703236936300,0.255,0.000255
option_selected:Q12_option3,21705030690400,1793.754,1.793754
submit_clicked:Q12,21706282047000,1251.357,1.251357
screen_presented:Q13,21706282305800,0.259,0.000259
option_selected:Q13_option3,21712446067500,6163.762,6.163762
submit_clicked:Q13,21713288714800,842.647,0.842647
screen_presented:Q14,21713288964300,0.249,0.000249
option_selected:Q14_option3,21716549699200,3260.735,3.260735
submit_clicked:Q14,21717359528400,809.829,0.809829
screen_presented:Q15,21717359778100,0.250,0.000250
option_selected:Q15_option3,21719501253600,2141.476,2.141475
submit_clicked:Q15,21720403458300,902.205,0.902205
screen_presented:Q16,21720403711100,0.253,0.000253
option_selected:Q16_option3,21723248714600,2845.003,2.845003
submit_clicked:Q16,21724366287600,1117.573,1.117573
screen_presented:Q17,21724366541900,0.254,0.000254
option_selected:Q17_option3,21726368218400,2001.677,2.001676
submit_clicked:Q17,21727247875500,879.657,0.879657
screen_presented:Q18,21727248118000,0.242,0.000243
option_selected:Q18_option2,21733266680500,6018.562,6.018562
submit_clicked:Q18,21733975759800,709.079,0.709079
screen_presented:Q19,21733976027300,0.268,0.000267
option_selected:Q19_option1,21737529234700,3553.207,3.553207
submit_clicked:Q19,21738613648500,1084.414,1.084414
screen_presented:Q20,21738613891800,0.243,0.000243
option_selected:Q20_option2,21740955877600,2341.986,2.341986
submit_clicked:Q20,21743533644600,2577.767,2.577767
screen_presented:Q21,21743533898400,0.254,0.000254
option_selected:Q21_option1,21746454590600,2920.692,2.920692
submit_clicked:Q21,21748081102300,1626.512,1.626512
screen_presented:Q22,21748081353900,0.252,0.000252
option_selected:Q22_option1,21751788331900,3706.978,3.706978
submit_clicked:Q22,21752879894900,1091.563,1.091563
screen_presented:Q23,21752880145500,0.251,0.000251
option_selected:Q23_option3,21756072181900,3192.036,3.192036
submit_clicked:Q23,21757306814900,1234.633,1.234633
screen_presented:Q24,21757307070200,0.255,0.000255
option_selected:Q24_option3,21759934538700,2627.468,2.627468
submit_clicked:Q24,21760968911900,1034.373,1.034373
screen_presented:Q25,21760969165300,0.253,0.000253
option_selected:Q25_option2,21765813467900,4844.303,4.844303
submit_clicked:Q25,21766736384500,922.917,0.922917
screen_presented:Q26,21766736631700,0.247,0.000247
option_selected:Q26_option1,21769049959600,2313.328,2.313328
submit_clicked:Q26,21769934114000,884.154,0.884154
screen_presented:Q27,21769934343400,0.229,0.000229
option_selected:Q27_option1,21773646785600,3712.442,3.712442
option_selected:Q27_option1,21773763624800,116.839,0.116839
submit_clicked:Q27,21774933962400,1170.338,1.170338
screen_presented:Q28,21774934206100,0.244,0.000244
option_selected:Q28_option2,21777301594700,2367.389,2.367389
submit_clicked:Q28,21778152377800,850.783,0.850783
screen_presented:Q29,21778152621600,0.244,0.000244
option_selected:Q29_option1,21781447038200,3294.417,3.294417
submit_clicked:Q29,21782297768800,850.731,0.850731
screen_presented:Q30,21782298014900,0.246,0.000246
option_selected:Q30_option3,21784325168100,2027.153,2.027153
submit_clicked:Q30,21785192705300,867.537,0.867537
screen_presented:Q31,21785192961900,0.257,0.000257
option_selected:Q31_option3,21788079782400,2886.820,2.886820
submit_clicked:Q31,21788754752400,674.970,0.674970
screen_presented:Q32,21788755020600,0.268,0.000268
option_selected:Q32_option2,21793167116500,4412.096,4.412096
submit_clicked:Q32,21793942561000,775.444,0.775444
screen_presented:Q33,21793942811300,0.250,0.000250
option_selected:Q33_option1,21798252628200,4309.817,4.309817
submit_clicked:Q33,21799026813700,774.186,0.774185
screen_presented:Q34,21799027051800,0.238,0.000238
option_selected:Q34_option3,21800628241600,1601.190,1.601190
submit_clicked:Q34,21801733052500,1104.811,1.104811
