Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,86560717962800,0,0.0
key_press:space_intro,86569167353900,8449.391,8.449391
screen_presented:Q1,86569213861200,46.507,0.046507
option_selected:Q1_option6,86583666911400,14453.050,14.453050
submit_clicked:Q1,86584480579600,813.668,0.813668
screen_presented:Q2,86584480822700,0.243,0.000243
option_selected:Q2_option9,86591029763300,6548.941,6.548941
option_selected:Q2_option8,86592833234900,1803.472,1.803472
option_selected:Q2_option7,86594451465600,1618.231,1.618231
option_selected:Q2_option4,86595836180700,1384.715,1.384715
option_selected:Q2_option7,86603076708300,7240.528,7.240528
option_selected:Q2_option4,86605111906400,2035.198,2.035198
submit_clicked:Q2,86606029469500,917.563,0.917563
screen_presented:Q3,86606029703800,0.234,0.000234
option_selected:Q3_option3,86612736129600,6706.426,6.706426
submit_clicked:Q3,86613437910900,701.781,0.701781
screen_presented:Q4,86613438146900,0.236,0.000236
option_selected:Q4_option2,86616539785400,3101.639,3.101638
option_selected:Q4_option1,86617160732700,620.947,0.620947
option_selected:Q4_option0,86618024555100,863.822,0.863822
submit_clicked:Q4,86618751449700,726.895,0.726895
screen_presented:Q5,86618751698200,0.248,0.000249
option_selected:Q5_option1,86623447087000,4695.389,4.695389
option_selected:Q5_option0,86623934425600,487.339,0.487339
submit_clicked:Q5,86625085005000,1150.579,1.150579
screen_presented:Q6,86625085260400,0.255,0.000255
option_selected:Q6_option1,86631270942000,6185.682,6.185682
option_selected:Q6_option0,86636592807900,5321.866,5.321866
submit_clicked:Q6,86647219801600,10626.994,10.626994
screen_presented:Q7,86647220067700,0.266,0.000266
option_selected:Q7_option1,86653509442000,6289.374,6.289374
submit_clicked:Q7,86654727344900,1217.903,1.217903
screen_presented:Q8,86654727587100,0.242,0.000242
option_selected:Q8_option0,86659784773200,5057.186,5.057186
submit_clicked:Q8,86660866801000,1082.028,1.082028
screen_presented:Q9,86660867052900,0.252,0.000252
option_selected:Q9_option0,86666789087400,5922.034,5.922034
submit_clicked:Q9,86672025770500,5236.683,5.236683
screen_presented:Q10,86672026019000,0.248,0.000249
option_selected:Q10_option1,86677731313000,5705.294,5.705294
submit_clicked:Q10,86678428536400,697.223,0.697223
screen_presented:Q11,86678428784200,0.248,0.000248
option_selected:Q11_option1,86684050557600,5621.773,5.621773
submit_clicked:Q11,86685192062500,1141.505,1.141505
screen_presented:Q12,86685192302300,0.240,0.000240
option_selected:Q12_option0,86690857637300,5665.335,5.665335
submit_clicked:Q12,86691880362200,1022.725,1.022725
screen_presented:Q13,86691880611200,0.249,0.000249
option_selected:Q13_option0,86695684117200,3803.506,3.803506
submit_clicked:Q13,86696604071400,919.954,0.919954
screen_presented:Q14,86696604316100,0.245,0.000245
option_selected:Q14_option2,86700538873400,3934.557,3.934557
option_selected:Q14_option3,86704483423900,3944.550,3.944551
option_selected:Q14_option4,86705030014500,546.591,0.546591
submit_clicked:Q14,86705695631100,665.617,0.665617
screen_presented:Q15,86705695872000,0.241,0.000241
option_selected:Q15_option1,86719073779100,13377.907,13.377907
submit_clicked:Q15,86720158045100,1084.266,1.084266
screen_presented:Q16,86720158294800,0.250,0.000250
option_selected:Q16_option2,86726912735500,6754.441,6.754441
submit_clicked:Q16,86729019167200,2106.432,2.106432
screen_presented:Q17,86729019397500,0.230,0.000230
option_selected:Q17_option3,86736056966500,7037.569,7.037569
submit_clicked:Q17,86736874690100,817.724,0.817724
screen_presented:Q18,86736874940800,0.251,0.000251
option_selected:Q18_option3,86741082572100,4207.631,4.207631
submit_clicked:Q18,86743230820300,2148.248,2.148248
screen_presented:Q19,86743231074900,0.255,0.000255
option_selected:Q19_option1,86747091750000,3860.675,3.860675
option_selected:Q19_option0,86749576670700,2484.921,2.484921
option_selected:Q19_option5,86751670553500,2093.883,2.093883
submit_clicked:Q19,86752473421700,802.868,0.802868
screen_presented:Q20,86752473655500,0.234,0.000234
option_selected:Q20_option2,86759413304900,6939.649,6.939649
submit_clicked:Q20,86760213990500,800.686,0.800686
screen_presented:Q21,86760214239200,0.249,0.000249
option_selected:Q21_option2,86764601590800,4387.352,4.387352
submit_clicked:Q21,86765999541500,1397.951,1.397951
screen_presented:Q22,86765999793700,0.252,0.000252
option_selected:Q22_option2,86775629157900,9629.364,9.629364
option_selected:Q22_option1,86781034455700,5405.298,5.405298
submit_clicked:Q22,86781985296400,950.841,0.950841
screen_presented:Q23,86781985549500,0.253,0.000253
option_selected:Q23_option3,86800636914400,18651.365,18.651365
option_selected:Q23_option2,86802255153900,1618.239,1.618240
submit_clicked:Q23,86803389678000,1134.524,1.134524
screen_presented:Q24,86803389920900,0.243,0.000243
option_selected:Q24_option0,86810746809000,7356.888,7.356888
submit_clicked:Q24,86811581034500,834.226,0.834225
screen_presented:Q25,86811581284700,0.250,0.000250
option_selected:Q25_option0,86814596776600,3015.492,3.015492
submit_clicked:Q25,86815430737400,833.961,0.833961
screen_presented:Q26,86815430994500,0.257,0.000257
option_selected:Q26_option0,86818862002400,3431.008,3.431008
submit_clicked:Q26,86819703753300,841.751,0.841751
screen_presented:Q27,86819703986900,0.234,0.000234
option_selected:Q27_option0,86824328828900,4624.842,4.624842
submit_clicked:Q27,86825978432300,1649.603,1.649603
screen_presented:Q28,86825978687100,0.255,0.000255
option_selected:Q28_option1,86838216436500,12237.749,12.237749
submit_clicked:Q28,86838989475500,773.039,0.773039
