n_sub,power,mean_diff
5,0.0,0.015197315436241607
6,0.0245,0.014978187919463083
7,0.0605,0.015206136145733457
8,0.0625,0.014382130872483216
9,0.084,0.015374720357941829
10,0.078,0.01519161073825503
11,0.0735,0.01517754728492983
12,0.076,0.014998322147651002
13,0.078,0.015394940629839956
14,0.0925,0.01540532118887823
15,0.0895,0.015691946308724825
16,0.0865,0.015075713087248317
17,0.0875,0.015080142123963676
18,0.085,0.015184190902311701
19,0.088,0.015463970328505824
20,0.073,0.015063087248322143
21,0.067,0.015276765739852984
22,0.0585,0.014989170225747403
23,0.05,0.015294572512401511
24,0.0165,0.015217841163310958
25,0.0,0.015245100671140936
26,0.0,0.015229736706246772
