n_sub,power,mean_of_means,sd_of_means
5,0.0,0.5261208053691275,0.009791760697050967
6,0.226,0.5258803131991051,0.008651396123955513
7,0.417,0.5261615532118887,0.0074955232105566195
8,0.4655,0.5262139261744967,0.006582485137706765
9,0.6455,0.5259325130499627,0.005864613621373505
10,0.748,0.5261342281879194,0.005153771832523889
11,0.8205,0.5258581452104942,0.0044668820615360125
12,0.938,0.526118288590604,0.003824316656891875
13,1.0,0.5258964894166236,0.003203288448356928
14,1.0,0.5261157718120807,0.002522426066375036
15,1.0,0.5260255033557049,0.0016853348504550251
16,1.0,0.526006711409396,6.257353570544183e-17
