n_total,n_a,n_b,power,mean_diff,sd_diff
10,6,4,0.0785,0.021252796420581654,0.019165126183067843
11,7,4,0.1005,0.02200479386385426,0.01849307915292136
12,7,5,0.081,0.021487823585810167,0.015638258142825674
13,8,5,0.0995,0.02165134228187919,0.015467274638987099
14,9,5,0.1035,0.022020208799403435,0.014963693591030107
15,9,6,0.093,0.022039336316181966,0.012701224541919175
16,10,6,0.107,0.022056935123042524,0.012176796454634462
17,10,7,0.0955,0.02203015340364337,0.010378884577073533
18,11,7,0.097,0.022235683779307975,0.009923860114684336
19,12,7,0.102,0.022227229146692278,0.009878914078828753
20,12,8,0.0965,0.021930369127516794,0.008270895309705893
21,13,8,0.083,0.021955440113577716,0.007379816288294479
22,14,8,0.086,0.021932646212847587,0.0073978422858756755
23,14,9,0.0715,0.022160301480771305,0.005265350028142283
24,15,9,0.0705,0.02200000000000001,0.004882964788569152
25,15,10,0.0,0.021995078299776333,0.0017306936563176187
26,16,10,0.0,0.02197986577181213,7.729754864851456e-17
